Week,Department,Model,Weekly_Cost,Weekly_Tokens,Avg_Latency,Cache_Hit_Rate,Success_Rate,Dept_Total_Cost,Dept_Avg_Latency,Dept_Cache_Rate
2025-08-06,Engineering,Claude-3-Opus,5.34,213623,1124.4,0.311,0.968,16.07,842.9,0.306
2025-08-06,Finance,GPT-4,3.23,107517,1196.3,0.307,0.97,5.57,1091.9,0.293
2025-07-23,Data_Science,Claude-3-Opus,4.85,193964,1080.6,0.338,0.963,12.88,813.4,0.282
2025-10-22,Marketing,Claude-3-Sonnet,0.84,105068,586.1,0.408,0.947,3.27,738,0.395
2025-07-23,Engineering,Claude-3-Opus,5.95,238152,1164.5,0.285,0.96,16.6,814.1,0.297
2025-07-02,Engineering,Claude-3-Sonnet,1.33,166451,567.5,0.302,0.933,17.78,749.4,0.275
2025-07-02,Engineering,Llama-3-70B,0.08,83830,287,0.302,0.883,17.78,749.4,0.275
2025-07-23,Sales,Claude-3-Sonnet,0.59,73180,592,0.313,0.95,1.84,701.7,0.274
2025-08-13,Sales,GPT-3.5-Turbo,0.23,116097,393.3,0.352,0.913,1.67,639.6,0.341
2025-12-10,Marketing,Claude-3-Sonnet,0.94,117341,514.9,0.388,0.936,3.97,692.3,0.383
2025-11-26,Data_Science,Llama-3-70B,0.2,197853,279.4,0.393,0.891,12.71,905.9,0.396
2025-09-03,Marketing,Claude-3-Sonnet,0.78,97046,660.1,0.279,0.941,3.29,734.9,0.287
2025-09-17,Product,Claude-3-Opus,3.05,121904,997.9,0.375,0.97,10.11,842.9,0.335
2025-09-03,Product,GPT-4,5.32,177292,1064.6,0.322,0.973,8.4,869.4,0.334
2025-11-12,Customer_Support,Llama-3-70B,0.04,44525,273.4,0.377,0.891,1.8,431.6,0.373
2025-09-10,Marketing,GPT-3.5-Turbo,0.18,88999,368,0.3,0.917,3.71,790.2,0.343
2025-12-17,Data_Science,Claude-3-Opus,4.03,161331,987.8,0.385,0.954,11.79,876.2,0.39
2025-11-12,Customer_Support,GPT-3.5-Turbo,0.62,310276,454.2,0.392,0.927,1.8,431.6,0.373
2025-07-09,Marketing,Claude-3-Sonnet,1.05,131143,641.6,0.259,0.948,4.13,700,0.258
2025-08-27,Marketing,GPT-3.5-Turbo,0.18,88375,399.7,0.329,0.921,3.83,758.3,0.34
2025-11-26,Engineering,Claude-3-Opus,6.79,271725,969.7,0.385,0.955,19.06,742.4,0.373
2025-09-03,Data_Science,Llama-3-70B,0.19,191503,333,0.317,0.889,12.25,941.7,0.312
2025-11-19,Finance,Claude-3-Opus,1.58,63370,1131.4,0.384,0.958,5.42,1091.8,0.344
2025-07-02,Finance,GPT-4,3.34,111424,1081.5,0.311,0.968,5.68,1102.3,0.288
2025-08-27,Sales,GPT-3.5-Turbo,0.27,133451,435.5,0.338,0.913,1.78,738.4,0.327
2025-07-16,Sales,GPT-3.5-Turbo,0.3,147956,432.9,0.322,0.925,2.05,664.9,0.316
2025-09-03,Customer_Support,GPT-3.5-Turbo,0.74,368294,403.8,0.302,0.927,2.3,443.4,0.341
2025-11-19,Marketing,GPT-3.5-Turbo,0.16,77644,415.8,0.42,0.912,3.11,681.1,0.424
2025-07-23,Engineering,GPT-4,9.25,308249,1145.2,0.264,0.979,16.6,814.1,0.297
2025-12-10,Product,Claude-3-Opus,2.82,112673,1191.1,0.43,0.959,9.6,946.8,0.386
2025-12-17,Sales,Gemini-Pro,1.22,60760,957.9,0.413,0.944,2.15,642.5,0.403
2025-11-12,Sales,Gemini-Pro,0.94,47068,958.9,0.318,0.949,1.66,692.2,0.32
2025-11-19,Marketing,GPT-4,2.13,71167,1078.9,0.417,0.974,3.11,681.1,0.424
2025-12-17,Legal,Claude-3-Opus,1.64,65757,1062.1,0.385,0.963,4.75,1205.7,0.356
